,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Hbb-bs,3.63E-62,-5.917851901,0.462,0.003,1.48E-57
Pth,3.47E-43,2.873497189,0.176,0.266,1.42E-38
ENSMUSG00000139198,3.19E-39,1.52501002,0.953,0.981,1.30E-34
Hba-a1,1.50E-38,-6.980810501,0.315,0.003,6.13E-34
Hba-a2,1.58E-33,-5.712264068,0.278,0.003,6.48E-29
Actc1,6.89E-33,-2.942554349,0.476,0.102,2.82E-28
Scgb3a2,6.18E-32,0.792313344,0.983,0.992,2.53E-27
Sftpc,2.19E-31,-1.328930778,0.868,0.576,8.98E-27
Igkc,2.37E-28,-0.162938485,0.536,0.26,9.71E-24
Wfdc2,6.14E-28,0.954376311,0.995,0.997,2.51E-23
Tnnt2,3.38E-27,-2.742853817,0.427,0.091,1.38E-22
Dcpp3,5.55E-25,-1.717808876,0.576,0.216,2.27E-20
Gjd2os,1.01E-22,-3.670118932,0.273,0.028,4.11E-18
Astn2,1.27E-22,-2.570933298,0.342,0.061,5.18E-18
Gm42209,6.56E-21,-3.251147815,0.266,0.03,2.68E-16
Gsto1,2.04E-20,0.568440815,0.988,0.994,8.36E-16
Mgp,1.18E-19,-0.628396724,0.948,0.776,4.83E-15
Pglyrp1,1.82E-19,0.884143651,0.747,0.845,7.45E-15
ENSMUSG00000138218,6.01E-19,7.203109548,0,0.141,2.46E-14
Cd74,5.59E-17,-1.279552591,0.568,0.266,2.29E-12
Sln,9.06E-17,-1.862310549,0.305,0.069,3.71E-12
Hbb-bt,1.27E-16,-6.926657763,0.129,0,5.22E-12
H2-Eb1,2.24E-16,-1.532803911,0.432,0.155,9.16E-12
Tcap,4.89E-16,-2.511733591,0.208,0.025,2.00E-11
Gsn,5.16E-16,-0.493966739,0.98,0.861,2.11E-11
Sftpd,1.06E-15,1.096907925,0.578,0.709,4.35E-11
ENSMUSG00000133541,2.04E-15,0.944594869,0.998,0.997,8.35E-11
Grid2,6.17E-15,-2.200412349,0.278,0.064,2.53E-10
Muc4,2.14E-14,1.284984159,0.387,0.56,8.75E-10
ENSMUSG00000136525,2.31E-14,0.504482207,0.973,0.981,9.46E-10
Ankrd1,2.43E-14,-3.352204852,0.159,0.011,9.96E-10
Ggt1,2.73E-14,2.838930444,0.055,0.244,1.12E-09
ENSMUSG00000140457,3.62E-14,0.48908446,0.921,0.931,1.48E-09
A230057D06Rik,4.92E-14,3.497672952,0.04,0.191,2.01E-09
Clca3b,6.49E-14,2.278661902,0.146,0.341,2.66E-09
Cryab,1.30E-13,-2.070593203,0.283,0.075,5.34E-09
Tnnc1,2.21E-13,-2.733408525,0.174,0.019,9.05E-09
Mb,2.53E-13,-1.57747123,0.325,0.102,1.04E-08
Myl7,4.12E-13,-0.902127519,0.566,0.296,1.69E-08
ENSMUSG00000127915,4.58E-13,0.806238554,0.931,0.939,1.87E-08
Gm39429,8.47E-13,0.893149747,0.692,0.767,3.46E-08
Cd177,1.75E-12,1.454360031,0.27,0.471,7.14E-08
Creg1,1.95E-12,1.631006386,0.243,0.385,7.97E-08
H2-Aa,2.79E-12,-1.269498672,0.434,0.191,1.14E-07
Sbpl,8.28E-12,-1.689408501,0.337,0.158,3.39E-07
Timp3,9.12E-12,-0.959153533,0.63,0.388,3.73E-07
Tenm4,1.05E-11,-1.233937205,0.459,0.222,4.29E-07
Gm19951,1.07E-11,1.082738819,0.548,0.67,4.37E-07
Cytl1,2.61E-11,-1.07787845,0.548,0.302,1.07E-06
Dpp6,3.47E-11,-0.91526967,0.429,0.199,1.42E-06
Banf2,4.99E-11,-2.249692056,0.228,0.058,2.04E-06
Slc25a4,5.37E-11,-0.827266486,0.556,0.31,2.20E-06
ENSMUSG00000129048,6.47E-11,-2.085362219,0.263,0.08,2.65E-06
Cdk8,7.07E-11,0.365500943,0.921,0.9,2.89E-06
ENSMUSG00000143602,8.03E-11,-5.45090464,0.082,0,3.29E-06
Gm31138,8.58E-11,0.929036251,0.777,0.762,3.51E-06
Csrp3,1.06E-10,-2.906318393,0.161,0.025,4.35E-06
Prmt3,1.39E-10,4.5118425,0.01,0.119,5.71E-06
Nppa,1.49E-10,-2.325407514,0.189,0.039,6.11E-06
Gphn,2.53E-10,0.647659701,0.861,0.87,1.03E-05
H2-Ab1,3.32E-10,-1.44390484,0.37,0.161,1.36E-05
Myh6,3.75E-10,-4.345728988,0.114,0.008,1.53E-05
Adh7,4.76E-10,0.722603376,0.546,0.59,1.95E-05
Dcpp2,7.12E-10,-1.444544218,0.134,0.022,2.91E-05
Csrp2,8.35E-10,-0.677237029,0.677,0.46,3.42E-05
Cmss1,1.41E-09,0.718455594,0.97,0.983,5.78E-05
Nell1,1.52E-09,2.530713437,0.055,0.197,6.23E-05
Apoe,1.67E-09,-0.937717271,0.548,0.327,6.85E-05
Syt5,2.22E-09,1.226480203,0.328,0.454,9.10E-05
Il31ra,5.00E-09,0.770198669,0.702,0.729,0.000204651
Muc5b,5.47E-09,-0.908294869,0.489,0.274,0.00022372
Gm41545,6.35E-09,-2.198986996,0.176,0.042,0.000259671
Rpl8,8.83E-09,-0.466274384,0.928,0.809,0.000361342
Nupr1,9.05E-09,-0.417265511,0.985,0.972,0.000370444
Ckb,9.67E-09,-0.771828812,0.6,0.385,0.000395531
Lars2,1.01E-08,0.369218896,0.98,0.992,0.00041247
Chga,1.45E-08,1.618256686,0.06,0.199,0.000594062
Aebp1,1.54E-08,-0.717317399,0.385,0.194,0.000629818
Filip1l,1.56E-08,0.328981779,0.811,0.74,0.00063816
Akr1b8,1.66E-08,-0.884033988,0.4,0.202,0.000680808
Fabp3,1.76E-08,-2.423824289,0.112,0.014,0.000718194
Ldhb,1.78E-08,-0.818758445,0.524,0.313,0.000729618
Myoz2,1.98E-08,-5.727301318,0.062,0,0.000810168
Camk1d,2.24E-08,0.993203333,0.921,0.914,0.000915191
Nqo1,2.36E-08,1.798601284,0.092,0.235,0.00096467
Cox6a2,2.41E-08,-2.911902192,0.136,0.025,0.0009841
Spa17,2.62E-08,0.590285898,0.767,0.778,0.001072216
Pgam2,2.76E-08,-4.198720219,0.097,0.008,0.001127309
Tm4sf1,3.85E-08,-0.597836671,0.72,0.518,0.001573683
ENSMUSG00000136725,3.92E-08,-3.053890041,0.132,0.025,0.001605381
Gm10432,3.93E-08,-5.246440631,0.06,0,0.001606742
ENSMUSG00000133777,3.97E-08,-1.637884279,0.127,0.022,0.001622735
Blvrb,4.45E-08,1.072365312,0.33,0.44,0.001820484
Lgals3bp,4.51E-08,0.713518473,0.66,0.706,0.001847118
2900060B14Rik,4.57E-08,-1.513928206,0.285,0.119,0.001870165
Nr4a3,4.64E-08,-1.069917809,0.335,0.155,0.001896898
Iglc1,5.86E-08,3.1770647,0.01,0.097,0.002399449
Rock2,7.24E-08,0.622244139,0.586,0.596,0.002961112
Ppargc1a,7.75E-08,-0.628513046,0.692,0.501,0.003169683
Vcp,9.00E-08,0.415684344,0.687,0.651,0.00368102
Hexb,9.08E-08,0.853950599,0.434,0.507,0.003716392
Fam47e,9.97E-08,-0.716959555,0.484,0.285,0.004078515
Pcp4l1,1.08E-07,-0.665373571,0.404,0.219,0.004404121
A730056A06Rik,1.64E-07,-2.520884034,0.129,0.025,0.006724116
Rpl3,1.72E-07,-0.480292842,0.804,0.629,0.007055327
Kcnj12,1.88E-07,-3.70196354,0.082,0.006,0.007695181
Reg4,1.98E-07,-3.337578118,0.097,0.011,0.008118718
Gm36329,2.04E-07,-2.331501693,0.139,0.03,0.008345764
Rnf114,2.41E-07,-0.747452988,0.285,0.133,0.009870707
Capzb,2.54E-07,-0.391045728,0.705,0.512,0.010372029
Cimap3,2.69E-07,-0.606542081,0.643,0.449,0.011019882
Hspa8,3.11E-07,0.331182845,0.938,0.903,0.012724415
Parm1,3.32E-07,1.970376413,0.079,0.199,0.013570559
Krt15,3.63E-07,0.421481613,0.901,0.895,0.014870023
4930471E19Rik,3.75E-07,-3.085344834,0.094,0.011,0.015325885
Myl9,5.15E-07,-0.958158073,0.313,0.15,0.021057039
Cxcl17,5.48E-07,0.473632441,0.799,0.798,0.02242108
Gm48975,5.59E-07,-1.281286337,0.268,0.116,0.022855372
Trim55,6.04E-07,-5.75340098,0.05,0,0.024704431
Trappc6a,6.10E-07,0.229229333,0.429,0.319,0.024936655
Ighm,6.34E-07,-1.691541092,0.226,0.089,0.025944898
Chek2,7.07E-07,-0.726837804,0.365,0.194,0.028923671
Ctsb,7.30E-07,-0.499865898,0.702,0.515,0.029851534
Ighg3,7.88E-07,4.435558767,0.002,0.064,0.032259033
Srrm3,7.93E-07,-1.956686649,0.132,0.03,0.032427083
Azin2,8.23E-07,-1.060331909,0.365,0.197,0.033656412
Snhg11,8.55E-07,3.21193893,0.03,0.119,0.034970678
ENSMUSG00000135468,9.08E-07,-1.367167564,0.253,0.108,0.037151846
Gab1,9.75E-07,-0.740019558,0.387,0.213,0.039874939
Ifrd1,1.00E-06,0.409343014,0.794,0.753,0.041035082
Zc2hc1a,1.01E-06,-0.431179924,0.685,0.499,0.041214354
Tbata,1.02E-06,-1.323844875,0.266,0.119,0.041618358
Igfbp6,1.05E-06,-1.271775926,0.283,0.13,0.04286625
Scgb3a1,1.06E-06,0.296224768,1,0.997,0.043477091
Cyc1,1.10E-06,-0.8104282,0.422,0.244,0.044938334
Agr2,1.13E-06,0.827010361,0.404,0.435,0.046142275
Igfbp7,1.16E-06,-1.078117352,0.337,0.175,0.047360359
Iglc3,1.19E-06,-4.968571643,0.047,0,0.048861807
ENSMUSG00000132632,1.26E-06,-2.938317424,0.082,0.008,0.051482513
