"","(Intercept)","conditionB"
"gene_1",1.22222222222222,0.050505050505051
"gene_2",1.6,-0.1
"gene_3",1.125,0.238636363636364
"gene_4",1.1,0.1
"gene_5",1.6,-0.600000000000001
"gene_6",1.4,-0.15
"gene_7",1,0.214285714285714
"gene_8",1.3,-0.1
"gene_9",1.28571428571429,0.0714285714285715
"gene_10",1.33333333333333,-0.233333333333333
"gene_11",1,0.3
"gene_12",0.999999999999999,0.4
"gene_13",1.3,0.0636363636363642
"gene_14",1.28571428571429,0.297619047619048
"gene_15",1.28571428571429,-0.0857142857142859
"gene_16",1.22222222222222,0.111111111111112
"gene_17",1.22222222222222,0.414141414141414
"gene_18",1.2,0.133333333333333
"gene_19",1,0.4
"gene_20",1.42857142857143,-0.116071428571429
"gene_21",1.125,0.329545454545455
"gene_22",1.25,-0.0681818181818183
"gene_23",1.33333333333333,0.333333333333334
"gene_24",0.999999999999999,0.428571428571428
"gene_25",1.1,0.252941176470589
"gene_26",1.125,0.208333333333334
"gene_27",1.16666666666667,0.166666666666666
"gene_28",1.44444444444444,-0.213675213675214
"gene_29",1.33333333333333,-0.166666666666667
"gene_30",1.28571428571429,-0.0714285714285713
"gene_31",1.5,-0.3
"gene_32",1.25,0.211538461538462
"gene_33",1.6,-0.242857142857143
"gene_34",1.27272727272727,0.0909090909090908
"gene_35",1.2,0.527272727272728
"gene_36",1.14285714285714,0.0571428571428569
"gene_37",1.42857142857143,-0.303571428571429
"gene_38",1.375,-0.125
"gene_39",1.4,0.0615384615384617
"gene_40",1,0.3
"gene_41",1.33333333333333,-0.0833333333333336
"gene_42",1.28571428571429,0.297619047619047
"gene_43",1.4,-0.0666666666666663
"gene_44",1.09090909090909,0.575757575757576
"gene_45",1.3,-0.157142857142857
"gene_46",1.42857142857143,-0.345238095238096
"gene_47",1.3,-0.0142857142857142
"gene_48",1.33333333333333,-0.208333333333333
"gene_49",1.66666666666667,-0.484848484848485
"gene_50",1.3,-0.0142857142857141
"gene_51",1.3,0.0333333333333336
"gene_52",1.22222222222222,-0.222222222222222
"gene_53",1.25,0.15
"gene_54",1.54545454545455,-0.212121212121212
"gene_55",1.44444444444445,-0.301587301587302
"gene_56",1.25,0.166666666666667
"gene_57",1,0.230769230769231
"gene_58",1.25,-0.0681818181818183
"gene_59",1.1,0.114285714285714
"gene_60",1.44444444444445,-0.0158730158730163
"gene_61",1.16666666666667,0.119047619047619
"gene_62",1.5,-0.131578947368421
"gene_63",1.2,0.0222222222222224
"gene_64",1,0.166666666666667
"gene_65",1.16666666666667,0.141025641025641
"gene_66",1,0.153846153846154
"gene_67",1.16666666666667,0.141025641025641
"gene_68",1.42857142857143,-0.128571428571429
"gene_69",1,0.363636363636364
"gene_70",1.125,0.0568181818181817
"gene_71",1.22222222222222,0.333333333333334
"gene_72",1.25,-0.0681818181818179
"gene_73",1.33333333333333,0.291666666666667
"gene_74",1.125,0.147727272727273
"gene_75",1.75,-0.659090909090909
"gene_76",1.14285714285714,0.190476190476191
"gene_77",1.23076923076923,-0.119658119658119
"gene_78",1.42857142857143,-0.285714285714286
"gene_79",1.44444444444445,-0.177777777777778
"gene_80",1.38461538461538,0.0153846153846156
"gene_81",1.2,0.133333333333334
"gene_82",1.08333333333333,0.316666666666667
"gene_83",1,0.153846153846154
"gene_84",1.11111111111111,0.183006535947713
"gene_85",1,0.166666666666667
"gene_86",1.22222222222222,-0.00793650793650833
"gene_87",1.22222222222222,0.0777777777777775
"gene_88",0.999999999999999,0.538461538461539
"gene_89",1.42857142857143,-0.303571428571428
"gene_90",1.25,-0.173076923076923
"gene_91",1.1,0.0818181818181821
"gene_92",1.27272727272727,-0.0909090909090907
"gene_93",1,0.166666666666667
"gene_94",1.14285714285714,0.22077922077922
"gene_95",1.375,-0.125
"gene_96",1,0.2
"gene_97",1.66666666666667,-0.2
"gene_98",1.66666666666667,-0.266666666666667
"gene_99",1.16666666666667,0.233333333333333
"gene_100",1.125,0.319444444444445
